
Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:03:14 2019
Timers Off: Sun Dec 29 14:03:20 2019

Wall Time:        5.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | CorrGrad: Amn                   :      0.283u      0.000s      0.181w      4 calls
| | CorrGrad: AB                    :      0.350u      0.000s      0.209w      4 calls
| | CorrGrad: UV                    :      0.000u      0.000s      0.008w      4 calls
| | CorrGrad: ABx                   :      0.200u      0.000s      0.124w      4 calls
| | CorrGrad: Amnx                  :      0.633u      0.000s      0.367w      4 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Sun Dec 29 14:03:20 2019
Timers Off: Sun Dec 29 14:03:27 2019

Wall Time:        7.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.031w      1 calls
DFH: initialize()                   :      0.233u      0.017s      0.150w      1 calls
DFH: AO Construction                :      0.067u      0.000s      0.044w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.633u      0.000s      0.379w      1 calls
SAD Guess                           :      0.600u      0.000s      0.365w      1 calls
HF: Form G                          :      0.033u      0.000s      0.026w     12 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.033u      0.000s      0.026w     12 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.026w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.000u      0.000s      0.005w     12 calls
DFH: compute_K                      :      0.033u      0.000s      0.020w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.000s      0.008w     11 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     11 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     11 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     11 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     11 calls
New vector                          :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.017u      0.000s      0.005w     11 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.183u      0.000s      0.110w      1 calls
DFMP2 (A|mn)                        :      0.083u      0.000s      0.045w      1 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.001w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      1 calls
DFMP2 Qia                           :      0.100u      0.000s      0.061w      1 calls
DFMP2 Metric                        :      0.100u      0.000s      0.059w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.000u      0.000s      0.001w      1 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.031w      1 calls
DFH: initialize()                   :      0.233u      0.017s      0.150w      1 calls
| DFH: AO Construction              :      0.067u      0.000s      0.044w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.012w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.633u      0.000s      0.379w      1 calls
| SAD Guess                         :      0.600u      0.000s      0.365w      1 calls
HF: Form G                          :      0.033u      0.000s      0.026w     12 calls
| JK: D                             :      0.000u      0.000s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.033u      0.000s      0.026w     12 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.026w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.005w     12 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.020w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.000s      0.008w     11 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     11 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     11 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     11 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     11 calls
| | New vector                      :      0.000u      0.000s      0.001w     11 calls
HF: Form C                          :      0.017u      0.000s      0.005w     11 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.183u      0.000s      0.110w      1 calls
| DFMP2 (A|mn)                      :      0.083u      0.000s      0.045w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.001w      1 calls
DFMP2 Qia                           :      0.100u      0.000s      0.061w      1 calls
| DFMP2 Metric                      :      0.100u      0.000s      0.059w      1 calls
